INR,Project Name,GIM Study Phase,Interconnecting Entity,POI Location,County,CDR Reporting Zone,Projected COD,Fuel,Technology,Capacity (MW),col_11,col_12,Screening Study Started,Screening Study Complete,FIS Requested,FIS Approved,Economic Study Required,IA Signed,col_19,Air Permit,GHG Permit,Water Availability,Meets Planning,Meets All Planning,col_25,Construction Start,Construction End,Approved for Energization,Approved for Synchronization,Comment,Generator_Size,Model Ready Date,"Change indicators: Proj Name, MW",Financial Security
15INR0064b,Harald (BearKat Wind B),"SS Completed, FIS Completed, IA","McCrae Wind Energy II, LLC",59903 Bearkat 345kV,Glasscock,WEST,2025-12-31 00:00:00,WIN,WT,162.1,COD  ,,2013-11-27 00:00:00,2014-01-27 00:00:00,2014-04-15 00:00:00,2017-09-27 00:00:00,No,2018-05-30 00:00:00,Yes,Not Required,Not Required,Not Required,2018-05-30 00:00:00,2018-09-19 00:00:00,2019-01-22 00:00:00,,,2020-02-10 00:00:00,2020-05-12 00:00:00,,Large,,,
16INR0049,Nazareth Solar,"SS Completed, FIS Started, IA","TX Nazareth Solar, LLC",tap 345kV 23914 Tule Canyon - 23912 Ogallala C2,Castro,PANHANDLE,2027-08-05 00:00:00,SOL,PV,203,,2014-07-07 00:00:00,2014-06-19 00:00:00,2014-07-25 00:00:00,2014-07-01 00:00:00,,No,2023-06-07 00:00:00,Yes,Not Required,Not Required,Not Required,2024-03-22 00:00:00,,,,,,,,Large,,,
16INR0081,Mesteno Wind,"SS Completed, FIS Completed, IA","Mesteno Windpower, LLC",80355 Del Sol 345kV,Starr,SOUTH,2025-06-30 00:00:00,WIN,WT,201.6,,2014-12-30 00:00:00,2014-12-30 00:00:00,2015-03-09 00:00:00,2014-12-30 00:00:00,2018-01-29 00:00:00,No,2018-04-25 00:00:00,Yes,Not Required,Not Required,Not Required,2018-04-25 00:00:00,2019-03-28 00:00:00,2019-04-01 00:00:00,,,2019-11-26 00:00:00,2019-12-12 00:00:00,,Large,,,
16INR0085,Priddy Wind ,"SS Completed, FIS Completed, IA",ENGIE North America,tap 345kV 1444 Brown – 3422 Killeen,Mills,NORTH,2025-12-30 00:00:00,WIN,WT,302.4,,2015-03-06 00:00:00,2015-01-14 00:00:00,2015-02-10 00:00:00,2015-03-06 00:00:00,2021-04-30 00:00:00,No,2020-08-13 00:00:00,Yes,Not Required,Not Required,Not Required,2021-03-29 00:00:00,2021-04-30 00:00:00,2021-04-30 00:00:00,,,2021-10-13 00:00:00,2021-11-19 00:00:00,,Large,,,
16INR0104,Big Sampson Wind ,"SS Completed, FIS Completed, IA","Big Sampson Wind Project, LLC",tap 345kV 76015 Cedar Canyon - 7053 Noelke,Crockett,WEST,2025-12-31 00:00:00,WIN,WT,265.4,,,2015-05-11 00:00:00,2015-06-17 00:00:00,2015-05-11 00:00:00,2024-10-30 00:00:00,Yes,2019-11-08 00:00:00,Yes,Not Required,Not Required,Not Required,2024-10-31 00:00:00,2024-11-04 00:00:00,2024-11-04 00:00:00,,,2025-06-04 00:00:00,2025-06-16 00:00:00,,Large,,,
16INR0112,Loma Pinta Wind ,"SS Completed, FIS Started, IA",Enerverse,5705 Fowlerton 138kV,La Salle,SOUTH,2026-12-31 00:00:00,WIN,WT,197.01,,,2015-05-18 00:00:00,2015-07-02 00:00:00,2015-05-18 00:00:00,,No,2017-12-13 00:00:00,No,Not Required,Not Required,Not Required,,,,,,,,,Large,,,
17INR0027b,Coyote Wind,"SS Completed, FIS Completed, IA",Coyote Wind,11305 Dermott 345kV,Scurry,WEST,2025-12-01 00:00:00,WIN,WT,242.6,,,2015-04-22 00:00:00,2015-05-22 00:00:00,2015-06-11 00:00:00,2020-01-31 00:00:00,No,2016-08-09 00:00:00,Yes,Not Required,Not Required,Not Required,2016-08-09 00:00:00,2020-01-28 00:00:00,2020-01-31 00:00:00,,,2020-08-24 00:00:00,2020-11-25 00:00:00,,Large,,,
17INR0043,Vaquero 1 Wind,"SS Completed, FIS Started, No IA",Enerverse,tap 345kV 8905 N Edinb - 8455 Lon Hill,Zapata,SOUTH,2027-01-15 00:00:00,WIN,WT,400,,2016-04-01 00:00:00,2016-04-01 00:00:00,2016-05-10 00:00:00,2016-04-01 00:00:00,,,,No,Not Required,Not Required,Not Required,,,,,,,,,Large,,,
17INR0052,Horse13 CallD repower,"SS Completed, FIS Completed, IA",Nextera,6216 Bluff Creek 138kV,Taylor,WEST,2026-09-30 00:00:00,WIN,WT,44,,2016-10-03 00:00:00,2016-10-03 00:00:00,2016-10-17 00:00:00,2016-10-03 00:00:00,2018-04-10 00:00:00,No,2019-05-22 00:00:00,Yes,Not Required,Not Required,Not Required,2020-04-13 00:00:00,2020-04-13 00:00:00,2020-04-13 00:00:00,,,,2021-03-16 00:00:00,,Large,,,
17INR0053,HHGT repower Horse13+CallD,"SS Completed, FIS Completed, IA",Nextera,7046 Kendal 345kV,Taylor,WEST,2026-09-30 00:00:00,WIN,WT,44,,2016-10-03 00:00:00,2016-10-03 00:00:00,2016-10-17 00:00:00,2016-10-03 00:00:00,2017-07-06 00:00:00,No,2009-06-26 00:00:00,No,Not Required,Not Required,Not Required,2020-04-13 00:00:00,2020-04-13 00:00:00,2020-04-13 00:00:00,,,,2021-09-10 00:00:00,,Large,,,
